Issue Type,Summary,Description,Acceptance Criteria,Epic Name,Epic Link,Priority,Story Points,Component,Labels,Fix Version,Requirement,Objective,Critical To Outcome,Team,Blocked By
Epic,Decision Evidence Layer,"Every eligible decision on the CURRENT engine emits what was chosen, what else was permitted, the probability assigned, and what the fallback would have done. This is the one capability that cannot be backfilled.",,Decision Evidence Layer,,P0,,Decision Runtime,decision-platform d30 req-r8,D30,R8,O3,,Payments Platform,
Story,Define the decision record schema,"As the platform, I need a single schema for every decision the engine makes, so that decisions from different decision points are comparable and joinable.","• Schema covers: decision point id, strategy id and version, chosen action, permitted action set, propensity assigned to the chosen action, fallback action that would have fired, population context, timestamp, transaction and customer identifiers.
• Schema is versioned and additive-only.
• Reviewed and signed off by Architecture and Analytics Engineering.",,Decision Evidence Layer,P0,5,Decision Runtime,decision-platform d30 req-r8,D30,R8,O3,Y,Payments Platform,
Story,Emit decision records from the routing engine (D6),"As an analyst, I need every routing decision logged with its counterfactual, so that routing strategies can later be evaluated off-policy.","• Every D6 decision on eligible traffic emits a record.
• No change to the routing decision itself — output is byte-identical to today for a control sample of 1M transactions.
• Record includes the permitted processor set and the fallback processor.",,Decision Evidence Layer,P0,8,Decision Runtime,decision-platform d30 req-r8,D30,R8,O3,Y,Payments Platform,Define the decision record schema
Story,Emit decision records from the retry engine (D4.2),"As an analyst, I need retry decisions logged with what else was permitted, so that retry strategies become evaluable.","• Every D4.2 decision emits a record, including no-action decisions.
• Retry behaviour unchanged.
• Retry records link to the parent authorization attempt.",,Decision Evidence Layer,P0,8,Decision Runtime,decision-platform d30 req-r8,D30,R8,O3,Y,Payments Platform,Define the decision record schema
Story,Emit decision records from credential selection (D4.1),"As an analyst, I need credential selection logged with the alternative credential, so that Experiment 1 has a counterfactual to report.","• Every D4.1 decision emits a record naming the credential presented and the credential not presented.
• Credential values are tokenised in the record — no PAN in the event store.
• Credential selection behaviour unchanged.",,Decision Evidence Layer,P0,8,Decision Runtime,decision-platform d30 req-r8,D30,R8,O3,Y,Payments Platform,Define the decision record schema
Story,Assign and document propensity for deterministic strategies,"As an analyst, I need a stated propensity convention for deterministic strategies, so that off-policy estimators are not silently mis-specified later.","• Deterministic strategies record propensity 1.0 on the chosen action and 0 on the alternatives.
• Convention is documented alongside the schema, with the implications for off-policy evaluation stated.
• A strategy class field distinguishes DETERMINISTIC from future stochastic classes.",,Decision Evidence Layer,P0,3,Decision Runtime,decision-platform d30 req-r8,D30,R8,O3,Y,Payments Platform,Define the decision record schema
Story,Record the fallback action without executing it,"As the platform, I need to know what the fallback would have done, so that attribution is possible without running two flows.","• Fallback resolution runs in shadow and never dispatches.
• Added latency measured and within the agreed budget.
• Fallback field is never null for a decision that has a registered fallback.",,Decision Evidence Layer,P0,5,Decision Runtime,decision-platform d30 req-r8,D30,R8,O3,Y,Payments Platform,Define the decision record schema
Story,Persist decision records with 13-month retention,"As an analyst, I need at least four quarters of history, so that seasonality can be separated from effect.","• Records land in the event store within 60 seconds of the decision.
• 13-month retention configured and cost-modelled.
• Partitioned for efficient replay by date range and decision point.",,Decision Evidence Layer,P0,5,Decision Runtime,decision-platform d30 req-r8,D30,R8,O3,Y,Payments Platform,Define the decision record schema
Story,Block synthesised propensity in downstream jobs,"As a reviewer, I need the platform to refuse reconstructed propensity, so that an evaluated result is never quietly based on a guess.","• Any job writing a propensity value for a record that did not carry one is rejected.
• Rejection is logged and alerts the strategy owner.
• Documented as a platform invariant, not a lint rule.",,Decision Evidence Layer,P0,3,Decision Runtime,decision-platform d30 req-r8,D30,R8,O3,N,Payments Platform,Persist decision records with 13-month retention
Story,Verify record completeness against transaction volume,"As a reviewer, I need proof that the evidence layer is not silently dropping decisions, so that a later readout is trustworthy.","• Daily reconciliation: decision records vs eligible transactions, by decision point.
• Completeness at or above 99.5%.
• Shortfall below threshold raises an alert with the missing population identified.",,Decision Evidence Layer,P0,5,Decision Runtime,decision-platform d30 req-r8,D30,R8,O3,Y,Payments Platform,Persist decision records with 13-month retention
